L,rho
10,0.08609240797845474
10,-0.07309881641623182
10,-0.04138947476764387
10,0.01210476133208537
10,-0.03523800366918711
10,-0.08519933188158293
10,-0.07387842468499743
10,-0.03452010123428269
10,-0.060848210178959326
10,0.026239515332886737
10,0.05718655867760626
10,0.07240266318162669
10,0.091110749524982
10,0.11050815486905302
10,0.10404837805371586
10,0.0925312942022576
10,-0.0036127972062813337
10,-0.006497243398172158
10,0.11544844080827174
10,-0.0060204716232719535
10,-0.019271666931557564
10,0.1312309149644758
10,0.1096135547622037
10,0.13445360458297578
10,0.10581359104215154
10,0.11885255909386773
10,0.10564013549556953
10,-0.02665405639019537
10,-0.08602568970050058
10,-0.12361795851938354
10,-0.06845083603595624
10,-0.03201021048018051
10,-0.044410266011136894
10,-0.05678980653195202
10,-0.059804251593775636
10,-0.061473823772433434
10,-0.07824971580181958
10,-0.19051930690303576
10,-0.1915599393813144
10,-0.11234451277625658
10,-0.130749147202375
10,-0.1814458163626622
10,-0.13946658121397837
10,-0.1109389501577405
10,-0.10541526799100805
10,-0.09101124405440351
10,-0.09156262399084994
10,-0.09615384650689462
10,-0.09599757292467004
10,-0.07744700461909115
10,-0.05767911002122087
10,-0.09314557704908932
10,-0.09894847702634844
10,-0.14293687252121057
10,-0.13381589668398877
10,-0.1403256221204912
10,-0.13189182562281332
10,-0.09911502887340064
10,-0.11975626591542239
10,-0.0991179854273159
10,-0.10208867540295495
10,-0.05878866894051835
10,-0.06663313097605501
10,-0.015178552810098443
10,-0.0185982474679641
10,-0.08183249795808319
10,-0.11544218858346096
10,-0.13205073295983338
10,-0.1304423860757586
10,-0.11638290185215554
10,-0.09709682522968514
10,-0.07881585629401515
10,-0.043165104452341195
10,-0.06038833471717124
10,-0.0827717563935242
10,-0.01736758186881389
10,-0.046933514965042784
10,0.009661331634966679
10,0.03720581800806085
10,0.05158998002154112
10,0.022233148170911415
10,0.028227206837187352
10,-0.03705542160559541
10,-0.03182136234183381
10,-0.028055308246172517
10,-0.03033060491438672
10,0.023764642851122487
10,0.011332769470202888
10,-0.02099556938649136
10,-0.0849846715568258
10,-0.09557544921132179
10,-0.06745750226175617
10,-0.05347757055872779
10,-0.08017298096484249
10,-0.09792284093314838
10,-0.07816141996030074
10,-0.0666092077437191
10,-0.05956154546868312
10,-0.008984430501561627
10,-0.058349712563977016
10,-0.06593514105657491
10,-0.04777442964026237
