L,rho
10,0.08924775664202529
10,0.06938386049544103
10,0.060013321118136086
10,0.02017725872480633
10,-0.02570026773690389
10,-0.046923829945407385
10,-0.1586645336208415
10,-0.12731517024798591
10,-0.065705174466714
10,0.02671413912742385
10,0.0723394651874152
10,0.08166498356446876
10,0.07702317100485184
10,0.12336491399121755
10,0.2096555659505139
10,0.21706690214242236
10,0.21628379538455297
10,0.20884903095083027
10,0.20135457168422155
10,0.19297464115788365
10,0.1559805490396731
10,0.11364589605152582
10,0.10106062319665124
10,0.07122110115653965
10,0.07170578424569492
10,0.09218184215185514
10,0.05535687743569258
10,-0.043108757435618414
10,-0.09720555824032161
10,-0.06782995610502687
10,-0.07727263443532877
10,-0.07499356934637959
10,-0.03785513633033605
10,0.006726116127714165
10,-0.008805934307465192
10,-0.007970627271816568
10,-0.008494140444968911
10,-0.03702940440578471
10,-0.014507041806465044
10,-0.05159016195210171
10,-0.014866060452621533
10,0.012726507129390517
10,0.057862364132241106
10,0.06676912395674711
10,0.010663486613019508
10,1.1103597209338318e-05
10,-0.054702037454288525
10,-0.008229826973550975
10,0.005946187852445215
10,0.01624815491623527
10,-0.05456048526824152
10,-0.08035891132390284
10,-0.08916823036352749
10,0.08645541407452088
10,0.16836669537598883
10,0.14634782698323712
10,0.12985841641961335
10,0.12194865565374574
10,0.13034471417814253
10,0.12988798567771284
10,0.1099624508802393
10,0.1113233849696171
10,0.09506741923734394
10,0.005165467449388054
10,-0.02518951541897301
10,-0.040761488258912355
10,-0.03551263990677294
10,-0.015047106764313256
10,0.012996850090846146
10,-0.006721484343455865
10,-0.02333607546273652
10,-0.0696816084749316
10,-0.06643289029168023
10,-0.07951140988698982
10,-0.060848399318452526
10,-0.026177836899861258
10,-0.04701635336186611
10,-0.09669399518333074
10,0.02106757879801984
10,0.03963024001339326
10,0.02345863186925464
10,0.021629445476111717
10,-0.0029449565389676907
10,-0.0038158358384676686
10,-0.02279667852548413
10,-0.02078457474324791
10,0.038098596665952944
10,0.03886100525268288
10,0.014946163255639041
10,-0.089412645077135
10,-0.07495424085962196
10,-0.05215288953267765
10,-0.02652187914248556
10,-0.04592947202762502
10,0.014517572468072015
10,-0.0004896984606129402
10,-0.02127719007892183
10,-0.02234571874013828
10,-0.12783634333110322
10,-0.13095816619260708
10,-0.08725442390416564
10,-0.07122883079516838
10,-0.06471702255775298
10,-0.06197489435991307
10,-0.05376019502990961
10,-0.058482273222659094
10,-0.06404777153862677
10,-0.06113268949150056
10,-0.03430220537330315
10,-0.0001457762431593228
10,0.02620535368705888
10,0.016454782667977348
10,0.011610061153012914
10,0.009107358463150984
10,0.05629769079372957
10,0.04463054970384304
10,0.015467792453899707
10,-0.028661033100712344
10,0.01824527332540201
10,0.03487491991806314
10,0.050316550525423276
