L,rho
10,0.12319268987014212
10,0.05954480413360366
10,0.05997136311100616
10,0.03348197419771687
10,-0.04167324376573988
10,-0.08151629608036315
10,-0.053830787950375
10,0.005402804628399298
10,-0.007536793509984571
10,-0.028237366614186535
10,-0.05400534263482707
10,-0.06389087922909868
10,-0.029779459501980347
10,-0.05776338370401825
10,-0.06987039015513682
10,-0.060538391008959226
10,-0.019387599895144447
10,-0.009200427609134107
10,0.03447575227024133
10,0.04688168778740767
10,0.07510673059311386
10,0.10591109789076444
10,0.11580899547386149
10,0.09244060502908395
10,0.07070049324587621
10,0.08888705212271573
10,0.12030135878018705
10,0.1297703974712214
10,0.1266696906101332
10,0.11698241957553185
10,0.10802693857196335
10,0.10457996311085485
10,0.10885836542033027
10,0.11029548215263793
10,0.11224239707056546
10,0.11351645049876762
10,0.11337826047410168
10,0.10291768099437554
10,-0.03518121656519069
10,-0.09294282192999727
10,-0.08233156631267435
10,-0.09197513766152339
10,-0.011577757981216382
10,0.10037262197891893
10,0.13844714853426848
10,0.08165726896130779
10,0.08126354894833052
10,0.08015172234882748
10,0.09496836433532894
10,0.09529938186783415
10,0.10898034957123122
10,0.053185911574727844
10,0.049882721888633255
10,0.04485929117494684
10,0.03777419171815534
10,0.04408711725474993
10,0.03297526375077801
10,0.0486801264453607
10,0.061705618456905635
10,0.06265271708336892
10,0.034758947112598616
10,0.018474540705385945
10,0.04580265843272711
10,0.10326291323737233
10,0.11279331963246086
10,0.08897497996815995
10,0.12120703008915736
10,0.1523435550468275
10,0.13096099732216665
10,0.1242561802592209
10,0.10946454948961612
10,0.10341209654163419
10,0.10957018124994271
10,0.11049737629522777
10,0.10170706382979977
10,0.12821557496931127
10,0.1684910949512342
10,0.144524552573473
10,0.15636864956914528
10,0.1268293347978413
10,0.11348229578511147
10,0.07753742953005391
10,0.0023953248927840315
10,-0.013708188251849761
10,-0.02675477607761412
10,-0.04019662822753389
10,-0.04549205557729624
10,-0.058659771701930624
10,-0.07106530125438297
10,-0.06955602080799812
10,-0.07942719214100556
10,-0.0977647670679591
10,-0.0921349389898159
10,-0.0909937080694703
10,-0.09436429622853602
10,-0.09115472466870589
10,-0.08774299527394509
10,-0.08511193637900659
10,-0.08140952828184085
10,-0.08883977064618485
10,-0.10225874412142655
10,-0.08546962756679408
10,-0.021455668400995682
10,0.06598432344202657
10,0.09389279958280834
10,0.007968467099781723
10,-0.04008239053128405
10,-0.048934852807826605
10,-0.0628174234758838
10,-0.09404012690781502
10,-0.0783993622813239
10,-0.07071539061357278
10,-0.08208843006615431
10,-0.05359051807848551
10,-0.08119766104325642
10,-0.10256762293478387
10,-0.11285259122772101
10,-0.1119640600087655
10,-0.10541950285461905
10,-0.10860387747817528
10,-0.1155493893921024
10,-0.1180019568742746
10,-0.11238143361511056
10,0.1112323929108048
10,-0.008316069404731294
10,0.006982472791046795
10,0.05795580344169745
10,-0.04200422758122863
10,-0.06515382037521883
10,-0.07102840924755968
10,-0.025869263777228823
10,-0.053061052207853836
10,-0.06657547718590628
10,-0.10221030338889862
10,-0.11061825440902569
10,-0.12208346142793486
10,-0.12764093700252716
10,-0.1199167875427044
10,-0.10693714411513652
10,-0.08250830873459927
10,-0.024635013986300375
10,-0.044790580720203706
10,-0.10426887841178815
10,-0.07059785141911959
10,-0.010619507222658444
10,0.022365813630989276
10,-0.03600059626424136
10,-0.008306379332220752
10,0.03020381362049847
10,0.07247907843496532
10,0.13718630164770906
10,0.1250015610826365
10,0.09894290198105775
10,0.08611367053313408
10,0.07584953884911008
10,0.07271193889800281
10,0.07546120237137886
10,0.07225004431256193
10,0.07495134995531114
10,0.08296618838064602
10,0.10402703826318355
10,0.004667282456218726
10,-0.10201053158752138
10,-0.10626765695664725
10,-0.1036946017548337
10,-0.049359613184347
10,0.07494783312244319
10,0.14871177547587758
10,0.16304844265133409
10,0.14753998860534248
10,0.1322948004923434
10,0.12050038335003296
10,0.13092311506742843
10,0.16063381067854116
10,0.1691038174164264
10,0.15438341082029158
10,0.1425683367259096
10,0.15606444945567663
10,0.1701672005755346
10,0.14905928930730722
10,0.15018277605050004
10,0.1531261126420481
10,0.14926764567713496
10,0.13303048759180597
10,0.08713358038175935
10,0.09561553858233733
10,0.10594634588962851
10,0.11704064920671309
10,0.10436042226519379
10,0.1392357821218886
10,0.17096796760506958
10,0.17148417442819028
10,0.16135891439768116
10,0.17064900589823967
10,0.18618339733404685
10,0.18633821771266754
10,0.15905572180833014
10,0.14564728314595882
10,0.17135253529431574
10,0.1452391794871415
10,0.1382908097381947
10,0.13771829959680273
10,0.1017495879900973
10,0.10732455169439604
10,0.013689284826567016
10,-0.03647607231924553
10,-0.030346205597963506
10,-0.0511379390774379
10,-0.06860596744461922
10,-0.060366634610570284
10,-0.0713852575736447
10,-0.08749414453144896
10,-0.08849899418243883
10,-0.10146830605704307
10,-0.11609080819463957
10,-0.10701407227165631
10,-0.10240041766174511
10,-0.11431042056548782
10,-0.11375051113727869
10,-0.10374909718410916
10,-0.10657160791002336
10,-0.10333248485406543
10,-0.10976398677907116
10,-0.13145117678322896
10,-0.11752137282701462
10,0.027699049497710102
10,0.1202414693372292
10,0.11836048516372423
10,0.08801920555904971
10,0.010708081301073735
10,-0.06621140013570152
10,-0.1044900985341225
10,-0.12223192152992322
10,-0.11545685865616558
10,-0.11673070279082118
10,-0.11435369870056117
