"L","rho"
"10",0.0335072086784798
"10",0.042122429428938
"10",0.0503809342802391
"10",0.0413559292295293
"10",0.051351792110651
"10",0.0453481678043678
"10",0.0775749373275531
"10",0.0988185810668408
"10",0.114704206120007
"10",0.134129367482096
"10",0.124035767661485
"10",0.108726805119331
"10",0.0948122295999124
"10",0.0791369352847651
"10",0.0805364161502769
"10",0.0738093601410022
"10",0.047820586923697
"10",0.0399899306338175
"10",0.0199323943085819
"10",0.0220549476649518
"10",0.0316917727746058
"10",0.0578052925369255
"10",0.0550336402433913
"10",0.0640762193619302
"10",0.093586798329812
"10",0.0946792630796804
"10",0.092024767349218
"10",0.0923679950182536
"10",0.0942369777663774
"10",0.0760611120292369
"10",0.0776663712830493
"10",0.0707241387807552
"10",0.0308045567358214
"10",0.0512380936749106
"10",0.0712376976855058
"10",0.0712566421762985
"10",0.0838829292663966
"10",0.0833074015847476
"10",0.0744174123663451
"10",0.0760245427350935
"10",0.0704299324616396
"10",0.00665538241544452
"10",0.0405794417152979
"10",0.0448602855882088
"10",0.0677149416347923
"10",-0.0249554074068355
"10",-0.0819915920016086
"10",-0.102278876595264
"10",-0.106177555598802
"10",-0.110674627545541
"10",-0.135306847388612
"10",-0.113247581936861
"10",-0.0664420294214401
"10",0.0268381459948169
"10",0.0836107347164297
"10",0.106026429731804
"10",0.0958059394394632
"10",0.0860313570721571
"10",0.0949236992656144
"10",0.0776266690957912
"10",-0.0476063219903214
"10",-0.0103446323278705
"10",0.0453435459124878
"10",0.0773356462346398
"10",0.0822412889358152
"10",0.0798588348851918
"10",0.0794946975866298
"10",0.0586758473856779
"10",0.0162818084310156
"10",-0.0233393933180208
"10",-0.00235541508681174
"10",-0.00051707607798877
"10",0.00771805215167119
"10",0.0208228801993595
"10",-0.025230782417806
"10",0.00781028825222463
"10",0.0304327745832299
"10",0.0690611665006666
"10",0.0661990317864471
"10",0.0167955445152252
"10",-0.00801292218414552
"10",0.00530990285778221
"10",-0.0392390378018437
"10",-0.0743883606118156
"10",-0.0601794884139731
