L,rho
10,-0.0029787342855603304
10,0.05841399568534611
10,0.08671428225125923
10,-0.027368787209632643
10,-0.13044006401140362
10,-0.09254050720691494
10,-0.13178398370869537
10,-0.15066886454498069
10,-0.1266510611631094
10,-0.1269674352093095
10,0.007984293540040656
10,0.10863806124991779
10,0.09381139420388762
10,0.1127159706509669
10,0.13796099379489832
10,0.16412565307313334
10,0.16815551251764602
10,0.14436438517203679
10,0.11821027976943538
10,0.03657565331098532
10,-0.08883799470114111
10,-0.150834223633633
10,-0.10699200789423136
10,-0.07568730631437741
10,-0.07415250432635619
10,-0.08248507786592746
10,-0.100333830229497
10,-0.1054276036623802
10,-0.1105748906074672
10,-0.09848155408566883
10,-0.09706085105619162
10,-0.09983845296864455
10,-0.07180389207903691
10,-0.06365266555559454
10,-0.08614448956176658
10,-0.10127714875349673
10,-0.10993464657417888
10,-0.10678745370625599
10,-0.08202065305745238
10,-0.07448844453336313
10,0.0355516954787571
10,0.05674820166056422
10,0.05058209660978686
10,0.10326141144180394
10,0.1706904356680455
10,0.18873344054846133
10,0.2256199087708857
10,0.2450910766363294
10,0.3033860263035601
10,0.3769309741733962
10,0.34476535680715625
10,0.2598626332302257
10,0.09444886105868362
10,0.09090251380592013
10,0.0873387197748714
10,0.11699388665902875
10,0.14130062670470514
10,0.1262171899922751
10,0.1476940161795799
10,0.16419950553428667
10,0.1516766966231669
10,0.12271469294895383
10,-0.0030504299493644593
10,-0.18689919025631718
10,-0.1772236249947491
10,-0.1803620737578703
10,-0.14840787830465965
10,-0.15937006881242552
10,-0.018266941928220492
10,0.0627720348503377
10,0.14676938175133325
10,0.17145226232338237
10,0.11297660891864397
10,0.04810199888030387
10,-0.05572409867783186
10,-0.031819308560750985
10,-0.033681459036955595
10,-0.0193187176718551
10,-0.005086370580872371
10,0.009481739548793494
10,0.03892899279215431
10,0.043727181509629766
10,0.01098426290915363
10,-0.03460507942908896
10,-0.0789239964291828
10,-0.1375061505135597
10,-0.13843796726589586
10,-0.1078273324001651
10,-0.07486502107992782
10,-0.0514515119942233
10,-0.03712664069506918
10,-0.05370264769181776
10,-0.024335944426774395
10,-0.05224123432736636
10,-0.07968975178765994
10,-0.09972977231958509
10,-0.18194664850216677
10,-0.22663718931546542
10,-0.23121737266969258
10,-0.18783127975356867
10,-0.12679775734816717
10,-0.11581303611665336
10,-0.11552033475545001
10,-0.14839596638728347
10,-0.16859478949726758
10,-0.1455394229538125
10,-0.1568998512935834
10,-0.14768304181654543
10,-0.15090363642003163
10,-0.1877399010236623
10,-0.18308322162159807
10,-0.20918981599711017
10,-0.23513501310188115
10,-0.24556190950715037
10,-0.2790208731684728
10,-0.30536491630272466
10,-0.2871820570470625
10,-0.2902709141906848
10,-0.2802481603721072
10,-0.2294942468194144
10,-0.16097218334159055
10,-0.08077167538285854
10,-0.014401535815812019
10,0.03469910051039571
10,0.05768849428609696
10,-0.16498063681278652
10,-0.19108880954274626
10,-0.17607278237124144
10,-0.14751666675000288
10,-0.11670189481041462
10,-0.08420588879691839
10,-0.0362809754053214
10,0.05638379414182013
10,0.05873480015103201
10,0.026894367477311838
10,0.04755996783389592
10,0.0780029751150615
10,0.10157077829508042
10,0.09536024795341697
10,0.04908394143706398
10,-0.014424672285768407
10,-0.07042422144696378
10,-0.13500153899856893
10,-0.14381506388296847
10,-0.14361464778974606
10,-0.1642288822940893
10,-0.17723684980631385
10,-0.17895710806342505
10,-0.1959462643104505
10,-0.2165847829473819
10,-0.2037636344034896
10,-0.201092434321915
10,-0.20080564675492013
10,-0.18449709789984767
10,-0.1538007117488878
10,-0.12693588484873716
10,-0.11431410307093112
10,-0.13646395616406448
10,-0.11514112955486588
10,-0.11650991874457492
10,-0.10153872082738617
10,-0.07347887430417477
10,0.036401574225429056
10,0.14538735417149803
10,0.15688049446922706
10,0.18455636497994185
10,0.19492396453124353
10,0.20644047795039974
10,0.2258977280085667
10,0.23024692212872255
10,0.2736886310177916
10,0.2866126609456536
10,0.28326049639288803
10,0.16073317259511913
10,0.09176192355927248
10,0.16672825809094718
10,0.18482268767848334
10,0.17184882204860755
10,0.14318473344957255
10,0.10163802547866643
10,0.14533470415677355
10,0.1373813863478032
10,0.13754839416641548
10,0.08785383943220439
10,-0.024783427267463486
10,-0.21460994199316444
10,-0.21205453664462906
10,-0.18346920878450307
10,-0.11229855704604305
10,-0.11511147971090306
10,0.02951463846453349
10,0.082718731442776
10,0.08948629355241432
10,0.11277467977077467
10,0.15280519665076567
10,0.116111377929003
10,-0.009996647707125488
10,-0.037945990769921924
10,-0.06000373486690314
10,-0.023461046658844298
10,0.01581772993080043
10,0.05589689137393069
10,0.08304017092219394
10,0.08371762004807583
10,0.07618628812099948
10,0.0869558400749726
10,0.0947328275406449
10,0.10589292599818396
10,0.1266473848225761
10,0.1277729912926217
10,0.12201310124462822
10,0.08975615542033556
10,0.06990965450666846
10,0.07187711036104887
10,0.08095741545311295
10,0.0733278834285877
10,0.08572375415391127
10,0.050807223124336026
10,-0.008706077952537514
10,-0.028693860959801833
10,-0.06590795285639091
10,-0.06107245448314522
10,0.010393788016275897
10,0.019771759486260414
10,0.011010973301853131
10,-0.009365628825045854
10,-0.08831559215982555
10,-0.1337246928676221
10,-0.14088209009783836
10,-0.17994425691586025
10,-0.1788512908746878
10,-0.2048990349884816
10,-0.20957062927761083
10,-0.21874891574375702
10,-0.24473510152245265
10,-0.2544872077284152
10,-0.274821535777756
10,-0.2721281038519222
10,-0.2744369927405622
10,-0.32516767017775366
10,-0.39810120446625363
10,-0.4057392209335987
10,-0.2913423508711554
10,-0.15264193655158306
10,-0.10187923818957453
10,-0.07875596788490154
10,-0.0892906637126418
10,-0.1835716592560197
10,-0.1870940051196298
10,-0.15086133439524532
10,-0.14388330355891618
10,-0.10149299434284124
10,-0.056744827462923746
10,-0.07486472983774278
10,-0.04453009083355713
10,-0.04251379146368368
10,-0.07382755967031181
10,-0.061250817270775554
10,-0.06224502920580902
10,-0.05976828521411868
10,-0.03821544667892047
10,-0.0077298216935118985
10,-0.14677807327158127
10,-0.21071779586730438
10,-0.18421168884324723
10,-0.1912986121504661
10,-0.18190729305387646
10,-0.18108213430618483
10,-0.1784884686642401
10,-0.1685060566054871
10,-0.16011452487638486
10,-0.15670129220228013
10,-0.1690275279009044
10,-0.16563110991821084
10,-0.19270751016154025
10,-0.17640083891745523
10,-0.17994530521546584
10,-0.1738679689239087
10,-0.13609628372897603
10,-0.1214743830556924
10,-0.06589707186074738
10,-0.058699786194288256
10,0.015550461009743081
10,0.10104103430604161
10,0.16731543012686972
10,0.17731639496706103
10,0.18392560060115576
10,0.1892368625345945
10,0.1941087388145157
10,0.19786681317840535
10,0.17597923514866484
10,0.17618002341463002
10,0.1691228901630177
10,0.10899670101795894
10,0.1298422602980202
10,0.15330700674108402
10,0.18505889972086254
10,0.2076779840268546
10,0.1840125681082667
10,0.1474656023474532
10,0.16008097334088858
10,0.13158626205885773
10,0.14592817248356557
10,0.13644013996914042
10,0.11386468628714788
10,-0.05270933299380402
10,-0.13996154570398775
10,-0.187845265541979
10,-0.12085222089626121
10,-0.03691769941962014
10,0.038088096859049736
10,-0.06433129296033183
10,0.06792072548044356
10,0.12358956268380182
10,0.10068399767953808
10,0.11758341109485508
10,0.12635385787998618
10,0.11654788672173112
10,0.12334948731599457
10,0.12218243386923426
10,0.14022759773418073
10,0.15116700551886675
10,0.15288526929428653
10,0.16707617306215988
10,0.16342717101397433
10,0.1549248769023278
10,0.1479989010549603
10,0.09424696936195572
10,0.10017549076430896
10,0.044761168940570216
10,0.03386132595526718
10,0.02082184543116123
10,0.02515864162552527
10,-0.004995127260686121
10,-0.059053226820231904
10,-0.04048454914738467
10,-0.023979707251900427
10,0.009460327077211212
10,0.04589424617213476
10,0.11038560151249802
10,0.07549731076454971
10,0.08971689718619189
10,0.08397907671215828
10,0.06040601291338444
10,0.0976567072893563
10,0.09273421062977048
10,0.07070553839355487
10,0.049625732483154154
10,0.021177808172455324
10,-0.07847335621328595
10,-0.09637942313967922
10,-0.01856097151544872
10,-0.06125649218928279
10,0.07735440991702408
10,0.09945793821177415
10,0.07609382143005262
10,0.07996206636065736
10,0.07500234486132404
10,0.07015362555226426
10,0.0684151284628508
10,0.06363742733863957
10,0.06664491941509552
10,0.003193697660604272
10,-0.037061050890309324
10,-0.2550014597052846
10,-0.17709909026601953
10,-0.13900378286088047
10,-0.12383114272960555
10,-0.17687873176085278
10,-0.19815035056035935
10,-0.20489740168022325
10,-0.19341416729326383
10,-0.15393144375467754
10,-0.139141960889175
10,-0.12125804820796475
10,-0.07830958262689772
10,-0.08414094439290658
10,-0.033907780153913825
10,-0.08174704482239811
10,-0.06210820039244235
10,-0.05334200732938097
10,0.04549814155125129
10,0.09906284829612123
10,-0.03241554096853913
10,-0.07288731935089277
10,-0.0968431538292034
10,-0.03198339061912034
10,-0.09372063809297988
10,-0.07426743753920513
10,-0.03772060214956243
10,-0.01445697599434893
10,-0.036113496863819004
10,-0.029617765782232314
10,-0.0422095756796727
10,-0.07558373323967771
10,-0.10549979928425887
10,-0.17029215574329454
10,-0.18430483189447847
10,-0.17745143171792874
10,-0.16922712986406466
10,-0.14575278419866244
10,-0.05787182084724178
10,0.07909352665308027
10,0.1122300529177598
10,0.1609807741227514
10,0.17486951374719292
10,0.18514291049341122
10,0.19004396985995953
10,0.18895168191747985
10,0.18742341014802863
10,0.19562582367297884
10,0.20371451665700924
10,0.17806281978379598
10,0.17577303673572978
10,0.1589386055650115
10,0.07125518830467382
10,0.07212451321529616
10,0.10742894286455286
10,0.16340578846445172
10,0.19782363773506945
10,0.1637118493260794
10,0.12792894345248154
10,0.15495203815779546
10,0.1352548950429869
10,0.1515879694825165
10,0.14716990517908768
10,0.12340701099512782
10,0.08054770756555887
10,-0.007077718653211253
10,-0.12268206156921325
10,-0.18191634684391914
10,6.774748596251059e-05
10,0.08483375438791146
10,-0.051759981225268564
10,0.06520181439654994
10,0.12119499092338751
10,0.1008897993292857
10,0.12258274302848185
10,0.13244474554581503
10,0.116897843070844
10,0.10701128867754373
10,0.12458972749399094
10,0.1566366533876988
10,0.15600568104350168
10,0.15857452366234412
10,0.16883860079783725
10,0.16869172686965467
10,0.1547580101515949
10,0.12649688172293533
10,0.0831927917908339
10,0.04733767209719403
10,0.08347497629507901
10,0.04085879308293017
10,0.023736394148950225
10,0.0178202822635207
10,-0.011901484286551002
10,-0.06140625631881693
10,-0.03750978585927988
10,-0.03271013638943538
10,-0.06537334921502051
10,-0.0280125401682043
