L,rho
10,0.13631618104856386
10,0.07656923691184614
10,0.27512731572606736
10,0.2653077399400947
10,-0.014716991118759582
10,-0.10306383071778713
10,-0.11179684033199559
10,-0.12400956802254895
10,-0.1721182437853328
10,-0.1726762510941713
10,-0.12918272002345663
10,-0.10937831164885668
10,-0.1176604645511879
10,-0.07165757224437502
10,0.005237870579100942
10,0.07202684044724617
10,0.06582284980124625
10,0.1332861163883919
10,0.10832440491860072
10,-0.21640684058680315
10,-0.27203897293749624
10,-0.30373084020229124
10,-0.30085003812458117
10,-0.29473575270839064
10,-0.28059601924653155
10,-0.2870018267438538
10,-0.24991140256233987
10,-0.2178479936154518
10,-0.13800212560209468
10,-0.18346567393894964
10,-0.20033857855038223
10,-0.23268481339161437
10,-0.24723886480769666
10,-0.26594015185443076
10,-0.2637731580709515
10,-0.2527758821544787
10,-0.23032194851385235
10,-0.17057348517282495
10,-0.24181389518143304
10,-0.2424829274913132
10,-0.1778436166238288
10,-0.15330658933904914
10,-0.09836875058410417
10,-0.0585153844735563
10,0.009064833328752192
10,0.03252731658676352
10,0.047282679064419936
10,0.06992349001920269
10,0.06540242077080767
10,0.0893092277779327
10,0.007514671460303058
10,-0.05737648837595773
10,0.09342162520945889
10,0.15540826830512947
10,0.1535547780850595
10,0.15201472532607357
10,0.1711360808565886
10,0.1701656237866982
10,0.16854830065394405
10,0.1598185284873413
10,0.1143612883397621
10,0.10557025395456554
10,0.12063560542502413
10,-0.012488678016362782
10,-0.0454600508857158
10,-0.047708807555707486
10,-0.026183664420514206
10,0.06789130882973579
10,0.1446340950824641
10,0.17167008615554685
10,0.15827722458774024
10,0.12560734026614126
10,0.1529296476186571
10,0.09505585802858504
10,0.003489266492303289
10,-0.07797434564110048
10,0.16247744587357849
10,0.20658441694427931
10,0.20721174375054038
10,0.18204157086960232
10,0.16474288594760267
10,0.1643001403711758
10,0.14915328915689804
10,0.14274683264901958
10,0.13516194763609002
10,0.12813790852324788
10,0.14331027202607635
10,0.14824290605684756
10,0.15352792576938804
10,0.15866664454159993
10,0.11475741820373118
10,0.06660720988533156
10,-0.006964821173527848
10,-0.07059453813065313
10,0.03788907328345425
10,-0.1233225876002677
10,-0.13156372529618676
10,-0.14527336610078084
10,-0.15986346393039375
10,-0.17807651807214755
10,-0.05219407705877832
10,-0.13687885599202992
10,-0.1933150729160294
10,-0.1900545818273505
10,-0.14066964767285625
10,-0.09788096915264768
10,-0.04643478414843544
10,-0.017621732232478336
10,0.02970877257766077
10,0.11648072600143915
10,0.15276106817068627
10,0.1614178746621777
10,0.17535000609067863
10,0.14296486748755824
10,0.07347286780210369
10,0.00570144815820338
10,0.012440899754342486
10,0.02486103059606085
10,0.04513365991538738
10,0.0672238016698573
10,0.06003949836047317
10,0.06754662321695207
10,-0.06282141926854691
10,-0.16214064563551883
10,-0.2005875916433233
