L,rho
10,0.13681117434178416
10,0.21282886965348846
10,0.30093278965503617
10,0.30805712271557595
10,0.22701801018786788
10,0.23314959135684138
10,0.21322484312934917
10,0.08644203826252347
10,-0.05542219755577746
10,-0.0030675441437530947
10,0.007332352387441852
10,0.10793985847600875
10,0.1856723219700932
10,0.19393039636430875
10,0.2278478737346518
10,0.23111233301867867
10,0.2080861579827937
10,0.24085523684173293
10,0.21566544793933037
10,-0.060511126598238096
10,-0.20413578430992188
10,-0.28929074571505764
10,-0.30434811604493855
10,-0.29505088630195303
10,-0.2656750729865206
10,-0.24167576190047638
10,-0.2351508308219362
10,-0.19813070090790436
10,-0.22510347188088245
10,-0.2426389768584198
10,-0.25550241044934335
10,-0.2622431735098323
10,-0.2779748782465867
10,-0.2831706696151197
10,-0.2874767364389414
10,-0.27922758644187895
10,-0.22205715868440729
10,-0.23845374730976818
10,-0.28743286015633246
10,-0.23612130807814555
10,-0.18736364450341056
10,-0.07271469288412778
10,-0.0193005205277959
10,0.03368555670688147
10,0.07403368900616074
10,0.11061735848504807
10,0.11959692839420243
10,0.12484451287155644
10,0.13759948301504557
10,0.13156936183800408
10,0.10151470254226623
10,-0.050599521764079454
10,0.004169862344170787
10,0.17896074758914735
10,0.13898799886148466
10,0.1371410766925377
10,0.15864859069975817
10,0.11872877965899002
10,0.11799252829260716
10,0.11761624977617133
10,0.10984490912664942
10,0.08717228197491046
10,0.12240120100757565
10,-0.09806828166530285
10,-0.15728876373085687
10,-0.16698509252936958
10,-0.15783908483894135
10,-0.09527837424257454
10,0.002712555558042109
10,0.06666633202957967
10,0.12338003311205886
10,0.03613201150961381
10,0.07262902327555425
10,0.002242684372275597
10,-0.08669764007308627
10,-0.18139310603280576
10,-0.18660274707926297
10,0.09329388781937485
10,0.17355322919867675
10,0.18819374340117598
10,0.1795543669753255
10,0.18071643913310806
10,0.18807409252082904
10,0.1767352810705052
10,0.1755038503671085
10,0.17191616430978343
10,0.1642186258750989
10,0.1699793393172851
10,0.18056775783275433
10,0.16015612105119506
10,0.1103090241848349
10,0.04847702109646893
10,0.02410604624167743
10,0.029987407672859324
10,-0.06560928821406771
10,-0.08214107847191987
10,-0.10780248580393838
10,-0.1288914882215807
10,-0.16887507725057077
10,-0.16492584198241098
10,-0.033494591315927524
10,-0.12463575817574095
10,-0.17908103353375868
10,-0.1638962514063784
10,-0.0808333002558932
10,-0.034423838324640986
10,0.010604627360643423
10,0.043996877538293254
10,0.07993015864357418
10,0.15257705989340484
10,0.18764641695864867
10,0.1792720036473497
10,0.18650719962157478
10,0.18751117168902898
10,0.11103523981142051
10,0.01804694740230558
10,0.017664031817154698
10,0.03190601886229724
10,0.057781213793752915
10,0.0838813604956715
10,0.07740138286472686
10,0.1150461567933559
10,0.11681451044654143
10,0.01682638466096427
10,0.28952061481091035
10,0.3124319391559427
10,0.21419251149662763
10,0.21074275216314456
10,0.2032395218580576
10,0.14766030103761466
10,-0.0920370493967821
10,-0.20103852014255733
10,-0.17796454441313536
10,-0.1426053465186127
10,-0.12794459630224597
10,0.05217487362490896
10,0.18155744511987149
10,0.23545352082619553
10,0.2922095358603667
10,0.2705541522977712
10,0.27891470536132457
10,-0.15280922515252682
10,-0.26207863471014164
10,-0.2861191309171973
10,-0.3138289742865536
