L,rho
10,0.06850983372513314
10,0.08064221454233649
10,0.1632381355701354
10,0.15611776566568697
10,0.151960220313162
10,0.16124822408845704
10,0.1363097330129867
10,0.11472236078289219
10,0.041875142166953115
10,0.09319650714405513
10,0.10901251101122633
10,0.07715626220620252
10,0.08217589598497431
10,0.0918579330439955
10,0.08349866546519182
10,0.04371996462646767
10,0.14408923473010793
10,0.09837865321536571
10,0.11935421193830323
10,-0.02739044792273128
10,0.0008086259291877928
10,-0.21896620408747583
10,-0.21904183964263715
10,-0.2088098521985908
10,-0.1735889570190255
10,-0.1169358885160889
10,-0.1294372249249063
10,0.0066987098233481845
10,0.018649185267169043
10,0.02182413377959252
10,0.02660251067703558
10,0.024704492232937286
10,0.058446652092890315
10,0.08071544028666432
10,0.10667319108368162
10,0.05625803839023965
10,0.05309768981778176
10,0.07972733409437249
10,0.03552075208366412
10,-0.04006787820893725
10,0.10693831237134922
10,0.033285053041651545
10,-0.004347709058531991
10,-0.03459061885148676
10,-0.06482629723884084
10,-0.04748663207439965
10,-0.053669264301964156
10,-0.034870509363088685
10,0.008085859956039287
10,0.08092908622476047
10,-0.015611588356902763
10,-0.03290385433548229
10,0.01767446664938299
10,0.04772016979646935
10,0.11302591316062811
10,0.08321967985126877
10,0.08726893727239235
10,0.0006898274065371199
10,0.00023184719957109473
10,0.01385910050249382
10,0.031979839878737835
10,0.0014185458946721413
10,0.013158697507595036
10,-0.05114300937473336
10,-0.018226799285309757
10,-0.08184725028715233
10,-0.05229352587160622
10,-0.039716531046546245
10,-0.09869685843741817
10,-0.08595116045960059
10,-0.0470536168071855
10,0.05218015975239079
10,0.0542642729068918
10,0.04347969610418163
10,-0.046104210479050375
10,-0.026267636471677052
10,-0.135621345369226
10,-0.08656890289399444
10,-0.08866068399062622
10,0.11307133857567452
10,0.007421787332851912
10,-0.05639690656757243
10,-0.10464877600232327
10,-0.09253525016072166
10,-0.0990903489748798
10,-0.09847439771311069
10,-0.0924912046028675
10,-0.07130870811972134
10,0.05373246437464866
10,-0.11613666375282232
10,0.06789303446082315
10,0.08120028818307792
10,0.12786229088790965
10,0.12240695613115737
10,0.13508195027197148
10,0.13418934313685035
10,0.14431093647007126
10,0.11490840520713672
10,0.04716690229005031
10,0.07998536108248043
10,-0.10547382407637856
10,-0.08634293351050548
10,-0.07720053036500307
10,-0.07623730497284452
10,-0.05368879044181321
10,-0.038084497547685635
10,-0.07792470525706405
10,-0.06650712808024206
10,-0.06642486168106712
10,-0.019440177240615565
10,0.016784333277724325
10,0.017218085721620608
10,0.020194635282540885
10,0.016787203381488418
10,0.020237950768901142
10,0.0012906200150934529
10,-0.011411180149858905
10,0.09746597515529799
10,0.07141142987325305
10,0.12876583234652272
10,0.1275117471365309
10,0.10890298879231017
10,0.09850056559814203
10,0.07898249753692853
10,0.1979037570729432
10,0.17869130453618645
10,0.17371604381863442
10,0.1820959056051105
10,0.14750815587315713
10,0.16039790009564928
10,-0.013773335391012023
10,-0.04986182892603704
10,-0.05539495381580187
10,-0.11329478706396216
10,-0.09190398182490374
10,-0.07333547657994516
10,-0.05388733363606133
10,-0.10758491777853581
10,0.014080830571022874
10,0.10190225251737
10,0.041990450783786167
10,-0.014907900226023356
10,-0.18088488154180057
10,-0.19929836701792986
10,-0.22330030203008733
10,-0.20264520275038236
10,-0.17514412896415416
10,-0.1006497961662161
10,0.033685306809027545
10,0.02826218096265898
10,0.005022672109130546
10,0.014212703911625338
10,-0.004579075693075841
10,-0.02332847714720905
10,0.02700466853984538
10,0.030924871896693358
10,0.05644575576254621
10,0.01594268904290654
10,0.0030678137556510135
10,0.029608039760534235
10,0.030709498503904368
10,-0.0017640716218555532
10,0.2017252336402492
10,0.07231413626596002
10,0.039922754380627895
10,0.0056571831672947
10,-0.025002029987575898
10,-0.027507084755399994
10,-0.022940811734413622
10,-0.011516889577631534
10,0.033671317829658653
10,0.10143214176690561
10,-0.036379609237938294
10,-0.04992530516058521
10,0.0012206380877657394
10,0.049960314981949215
10,0.12593315982595496
10,0.09567215378650651
10,0.1101352986636445
10,0.02534738266047642
10,0.0305378256744841
10,0.04913187193329543
10,-0.004093933680229148
10,-0.04814157668590219
10,-0.0054059511215716624
10,-0.055182460678401754
10,-0.02471023280720681
10,-0.05602418397271628
10,-0.011331673974535989
10,-0.022851975112893885
10,-0.1081695297321898
10,-0.06649809312144829
10,-0.0022380703660048232
10,0.05192735631418091
10,0.06266758856791746
10,0.04996319838479299
10,-0.029090295855640637
10,-0.036813328256939275
10,-0.06457132092690543
10,-0.03906758581586271
10,-0.016210575586863906
10,0.09432492101265867
10,0.08335246199305107
10,0.06826097658812823
10,0.05051298885080385
10,0.061920489219130445
10,0.04714791389701954
10,0.05386493281575462
10,0.04180685251421959
10,0.02642255806343738
10,0.05643355670318974
10,0.008776914834988804
10,0.0800772500643184
10,0.07030895167021305
10,0.06640791873676863
10,0.05278080813565392
10,0.11141618223248474
10,0.10014030357082493
10,0.10977186845382489
10,0.08317791861621804
10,0.037496065434030834
10,0.024077643971913868
10,-0.12141108114511821
10,-0.1103281648601746
10,-0.09301923393378779
10,-0.09785601506297067
10,-0.05465687398015554
10,-0.03577326865716659
10,-0.07027640478660264
10,-0.060435134606535344
10,-0.06095178784054423
10,-0.0026173118997835317
10,0.026196645310738134
10,-0.023154633882949922
10,-0.023832112849575326
10,-0.024105041750483294
10,-0.026604632869889806
10,-0.045045210778243916
10,-0.08940503266568507
10,-0.020871481878638447
10,-0.012035184421068566
10,0.002696075187504962
10,0.0008204846155143782
10,-0.011403132870272975
10,0.06489999891649886
10,0.05022314686558662
10,-0.0025981625058974214
10,0.021226256213042236
10,0.017215192209966024
10,0.02470981285427447
10,0.005264485140106294
10,0.00986620414465266
10,-0.03143189205463749
10,-0.11055033996818364
10,-0.09442519512258042
10,-0.15550960298001873
10,-0.167107184080693
10,-0.20292370873810897
10,-0.150865175279439
10,-0.20507460505586914
10,0.009717953055280412
10,-0.024288023261708987
10,0.008114917595537317
10,-0.05088350283586998
10,-0.18500341471826104
10,-0.17111549860635192
10,-0.20325610574817432
10,-0.14686488512231127
10,-0.0021326468777976967
10,0.03239300845226681
10,0.05319169448052373
10,0.0417143071486375
10,0.02990335224142034
10,0.03457644087212643
10,0.01804062431755122
10,0.014026549191568496
10,0.062416337513943536
10,0.061495468793465374
10,0.06135714493032572
10,0.02358163691371245
10,0.0014175840637253823
10,0.06720575636418095
10,0.062204252865415414
10,-0.015288283559214588
10,0.19472635594859491
10,0.07233807847107433
10,0.05157068815360196
10,0.015936063993853253
10,-0.01916004188940804
10,-0.015774242893644156
10,-0.01715411541072587
10,-0.004373758985107575
10,0.04422308514148515
10,0.11202860843185666
10,0.035446852568367354
10,0.012955357565742493
10,0.02459792210554317
10,0.05468270803566001
10,0.14040492455374448
10,0.11459141156554893
10,0.11486565082451766
10,0.017338546627697012
10,0.0295947599161152
10,0.012293944403130296
10,-0.04627308480573634
10,-0.09802917322601912
10,-0.0709806649902377
10,-0.10478859693079962
10,-0.07536092866607023
10,-0.123910502452077
10,-0.09757879873469841
10,-0.08117853763982678
10,-0.14357818244699713
10,-0.11233550412079775
10,-0.053558707463101644
10,0.02293395520046315
10,0.03683774237360282
10,-0.022081142834552196
10,-0.1439957115606954
10,-0.06355442185293984
10,0.047740846719137454
10,0.0889832347031001
10,0.10794164716821528
10,0.14274830194781551
10,0.14060331575126653
10,0.14414024267726536
10,0.131096348671979
10,0.13587394259764146
10,0.13250705424808107
10,0.1330416675700221
10,0.1283912195328082
10,0.14457588470650404
10,0.1384859733971292
10,0.11211104713811285
10,0.022533941050714573
10,0.09231802542947742
10,0.07704081761273172
10,0.13338050181404168
10,0.1411735102893753
10,0.15306493305293734
10,0.16842537117862136
10,0.16053889455671372
10,0.1529087732052851
10,0.008808147018839857
10,-0.11440172947873563
10,-0.10855914965404989
10,-0.09832498383182954
10,-0.09991811274339349
10,-0.07327911738192396
10,-0.04339820306425474
10,-0.07920086408059743
10,-0.07293364413312838
10,-0.08574100602571967
10,-0.04137999589350832
10,-0.03293863571991581
10,-0.03475778650849852
10,-0.03820291039817395
10,-0.027530397323252156
10,-0.026372588494217353
10,-0.04495360244387355
10,-0.06725355960051567
10,-0.05085767284658462
10,-0.03917074843348146
10,-0.027885075973970934
10,-0.03459218486061994
10,-0.04156929016925312
10,0.10360165962510752
10,0.1052711864386903
10,0.08858452143109145
10,-0.1150007277407166
10,-0.09068159244396289
10,-0.04537861429960402
10,-0.027601156246514453
10,-0.03052517675347889
10,-0.05147466728496248
10,-0.04923510753826356
10,-0.059964388994205794
10,-0.11707407748440322
10,-0.16834318480747917
