L,rho
10,0.025147000805527033
10,0.0884699380734498
10,0.13435270384610679
10,0.05778543219229013
10,-0.026456635280301215
10,-0.023580689350479776
10,-0.09650263001257131
10,-0.10011775057587995
10,-0.01372476468185509
10,0.06647657655876452
10,0.1304585839715182
10,0.16847083532946167
10,0.1626623794678639
10,0.1863796210723372
10,0.20574210970182136
10,0.20490623782004666
10,0.2008589692588823
10,0.1880210922509921
10,0.1307974641920857
10,0.04769191542041203
10,-0.07093356406394523
10,-0.11895410166052851
10,-0.08877013358510642
10,-0.06879922298702625
10,-0.09156725373369408
10,-0.09728463423729647
10,-0.11175044893595686
10,-0.11690913322283174
10,-0.11844605155660524
10,-0.10599821287646022
10,-0.10404639800333688
10,-0.09333925582040387
10,-0.07448087956642718
10,-0.06873729534204721
10,-0.08119230187851023
10,-0.09398716598318475
10,-0.09946477080892538
10,-0.10477130692545293
10,-0.08425413544572168
10,-0.06451656649771938
10,0.013366142990341993
10,0.03835005782542649
10,0.05907767081315744
10,0.13327278058800457
10,0.186368862154494
10,0.20533927720929018
10,0.2270333139322463
10,0.2474045655636679
10,0.3360603248276993
10,0.4035406554344605
10,0.36131212726943074
10,0.28610644238260163
10,0.0958940303781737
10,0.08246656239513196
10,0.08074822542567674
10,0.11461632110522348
10,0.13150440145055087
10,0.11445980222261092
10,0.12070484480626456
10,0.13468316306531514
10,0.1321645967034068
10,0.0647201697668383
10,-0.2212033365741572
10,-0.22336641660978906
10,-0.21109728692668683
10,-0.19295351465685986
10,-0.1852609304650492
10,-0.11761225430067353
10,0.045051476062180296
10,0.15463523479816346
10,0.2560474895466929
10,0.21407941374086736
10,0.14055290125308234
10,0.04901931731435991
10,-0.07163116828631877
10,-0.06641200770889696
10,-0.07280613889918897
10,-0.05371548840141734
10,-0.03334098995278787
10,-0.027686720481380194
10,0.011575763057129162
10,0.017210251217883766
10,-0.0215196983288395
10,-0.05585966209467733
10,-0.0976204180811262
10,-0.11174112496756396
10,-0.11063547908154843
10,-0.092358061546203
10,-0.0579475778465702
10,-0.05011832615559113
10,-0.04821860678240081
10,-0.05750528430638129
10,-0.03658688876625014
10,-0.046037930078455976
10,-0.07118514474560497
10,-0.10402301303441884
10,-0.16555342859606528
10,-0.21787624457654906
10,-0.21153506551972287
10,-0.1772926480198039
10,-0.1483036421591634
10,-0.14611846663356176
10,-0.13730655900256253
