L,rho
10,0.19613278432311232
10,0.25681448371806787
10,0.31700749180331106
10,0.2950911881366516
10,0.17157735316871006
10,0.14642791054381898
10,0.10567338918586978
10,-0.04043252808065764
10,-0.035497735745496334
10,-0.02463350865148115
10,-0.010929299519114978
10,-0.014421850848356914
10,0.07342082903310997
10,0.08619389709487896
10,0.13124117798094087
10,0.180631978281589
10,0.18577820875623036
10,0.1686661294073632
10,-0.035372052537005115
10,-0.26566490580331065
10,-0.29534299051964186
10,-0.30676221803159354
10,-0.2994232942795599
10,-0.3036764899389766
10,-0.27443562202911653
10,-0.24742322164292954
10,-0.21134631509082843
10,-0.19521919572125737
10,-0.19054937171964115
10,-0.24815711383552316
10,-0.264174261899024
10,-0.26711559829391124
10,-0.2811433319745917
10,-0.29042767407857817
10,-0.29247909416816253
10,-0.28762595522749246
10,-0.2334599501773284
10,-0.285203395598826
10,-0.2627908547769893
10,-0.2444138260498521
10,-0.20490713562898624
10,-0.1809264491466871
10,-0.1281819377688411
10,-0.05901804442952516
10,0.02243962784073822
10,0.044534225194952114
10,0.06540066311203187
10,0.11661286976237402
10,0.1493363817064155
10,0.14606462680452098
10,0.03231321724112919
10,0.01631168755387584
10,0.20808699305582848
10,0.17762821223814695
10,0.15112592411574421
10,0.14578377957177915
10,0.1449493670788018
10,0.14909710980100582
10,0.15706063054296165
10,0.14218859290841057
10,0.09386007896450481
10,0.05834727089796195
10,0.04071386601794768
10,-0.06702749975503204
10,-0.10707357020195928
10,-0.10638009165471975
10,-0.0718800292823149
10,0.015119707433304657
10,0.08039899889215947
10,0.12348539112469199
10,0.07649192064503016
10,0.056399151301123565
10,0.10841301689308737
10,0.03085330284688429
10,-0.10128377181368156
10,-0.11125968347748529
10,0.06962474277610062
10,0.2526816843519069
10,0.17022147489030443
10,0.180610337358523
10,0.18173488495663748
10,0.1791956922014671
10,0.1708572940382547
10,0.15818457535453442
10,0.14846838417981742
10,0.14889187625708136
10,0.16014812688507346
10,0.15932640151670693
10,0.16391050105086377
10,0.16352684652178276
10,0.1298047182735584
10,0.06829355823679555
10,-0.09021134015267152
10,-0.08577462548906684
10,-0.09601314042852675
10,-0.1164546703216675
10,-0.13040259455727346
10,-0.1650704077245743
10,-0.1799574642369209
10,-0.009507438547405093
10,-0.06921763110536404
10,-0.14761293111416465
10,-0.13222925488556997
10,-0.12099077532675123
10,-0.05774003107230216
10,0.00786154467503355
10,0.035971841801700245
10,0.08495907023979021
10,0.17346101676673759
10,0.21289001746529085
10,0.18599885556052914
10,0.18017305757508154
10,0.15117206800169833
10,0.16051296598183562
10,0.10470615754704447
10,0.04347976484338372
10,0.04349754694507515
10,0.06792464620947102
10,0.1530355237433063
10,0.14449797609273998
10,0.1489401820878432
10,0.14936358275343872
10,-0.023208313501982353
10,0.08673497500348379
10,0.2922283771643509
10,0.2905781864192875
10,0.11957395813015922
10,0.09622577912392312
10,0.07060349288099198
10,0.07531456901470747
10,-0.08299253469162815
10,-0.13731827756380185
10,-0.15634373230530543
10,-0.15988866429802423
10,-0.16206310850947847
10,-0.119670690006256
10,0.04666442999461332
10,0.21646328023375583
10,0.22147783242522512
10,0.22919444960786658
10,-0.22311860854189888
10,-0.2904560358621057
10,-0.2933138016777034
10,-0.30473537973968273
