L,rho
10,0.14908723200851998
10,0.1036173160009077
10,0.1721636927954812
10,0.1400150033247347
10,0.12836997363084895
10,0.12838425474233173
10,0.12195928016600573
10,0.1608973109135097
10,0.09822833228372542
10,0.11692385348319424
10,0.14188233500519712
10,0.09611256010636637
10,0.10256830365188031
10,0.12352753700042997
10,0.10266374976010456
10,0.11019027939656191
10,0.16774889830152154
10,0.14696969681575472
10,0.0785447671811644
10,0.06383751699749811
10,-0.055251452052729265
10,-0.19368775301714317
10,-0.20950575446401207
10,-0.2095939020538368
10,-0.1646403888581053
10,-0.08211568394934743
10,0.06299312190578532
10,-0.016030458455578923
10,0.015835452789605915
10,0.0010093383468548767
10,0.007296146675670656
10,0.024720682552415094
10,0.013432563618556093
10,0.02943972937129661
10,0.06211355620304237
10,0.05163903085762502
10,0.06353614200605745
10,0.057747894796905515
10,-0.0585375291575443
10,-0.08030289241258126
10,-0.05022819453368495
10,-0.05840473808488242
10,-0.03565347903777003
10,-0.04923556100306263
10,-0.09735760776803123
10,-0.09878684366139605
10,-0.09154716415336162
10,-0.050297516254298555
10,-0.028827729470414804
10,-0.015970471943904142
10,-0.0555120930892517
10,0.002529085036736029
10,-0.015509176654039454
10,0.06273551914440517
10,0.09432459276547861
10,0.08261574896641914
10,0.010776659468322798
10,0.033968183421774226
10,0.03356728203832401
10,0.004229833215580041
10,0.005106066341974851
10,0.0402211155998716
10,0.048048173207239434
10,0.03329379819922518
10,0.041840954654967635
10,-0.0035292276017315
10,0.0022576795159957204
10,-0.05849418309420337
10,-0.06260905714634471
10,-0.017114398603794562
10,0.013587177630845874
10,0.04885412615597033
10,0.06049338804977434
10,0.07259238848020624
10,-0.046852452940108064
10,0.04426550311214354
10,-0.02596738594758859
10,0.012074151631448865
10,-0.04044692513384508
10,-0.0020555304576356805
10,-0.038878551223321234
10,0.028284816483422678
10,-0.016432036139644154
10,0.002277037625216705
10,0.03931122427280758
10,0.0550237114083775
10,0.10333920121416759
10,-0.0056581648677789375
10,0.05587857402648046
10,0.01361286228407568
10,-0.10095889719494054
10,-0.07090055929133567
10,-0.06118122050437128
10,-0.04537125070016568
10,-0.016427316536884208
10,-0.010349513926569819
10,-0.006106622353393754
10,-0.060912942981220936
10,-0.1013648727119281
10,0.03792439343118537
10,-0.09711794569897496
10,-0.10544084798719026
10,-0.09002799384146382
10,-0.077525060473663
10,-0.07754661455549632
10,-0.062448753312228704
10,-0.08316824458486073
10,-0.07296578981075447
10,-0.03406448036413552
10,-0.046854766772937595
10,-0.04644741598641231
10,-0.03422120623028312
10,-0.03326077445802389
10,-0.0348386107361385
10,-0.030480540733717712
10,-0.03506155361308807
10,-0.05565487818698742
10,-0.04162099902053936
10,-0.05127617518578438
10,-0.04750881117675164
10,-0.05841242115493577
10,-0.06318800836325372
10,0.11930515115076813
10,0.16105189839493836
10,0.19630478989794423
10,0.1690907066582527
10,0.1275971066413858
10,0.11454966668366307
10,0.11324138077167215
10,0.12266462919296987
10,-0.10114439136532599
10,-0.07284947825525115
10,-0.06381186514944083
10,-0.1129147945038992
10,-0.1128463667708804
10,-0.0671768361228547
10,-0.0625279210667095
10,-0.02816713249141136
10,0.03862984945367657
10,0.060905024682812205
10,0.03692859212525617
10,0.006203053512513298
10,-0.2007037747795761
10,-0.2218280266873398
10,-0.23594919283870935
10,-0.22291418824261153
10,-0.18395871314882217
10,0.017410337478517186
10,-0.05512817741269464
10,0.0021264838998517337
10,-0.019046637926764896
10,-0.03363278293448878
10,-0.02013495587763511
10,-0.014051491752055875
10,-0.04886899895465199
10,-0.041955010433683174
10,-0.0016531198971266442
10,-0.005868235727172845
10,-0.017584478197626124
10,-0.01744388288653138
10,-0.06258267893633764
10,-0.05461799588198326
10,-0.010373929587105727
10,-0.026759541575244416
10,-0.006763870237714665
10,-0.026800837306444593
10,-0.06834395586188473
10,-0.07090944217356794
10,-0.0680303081778186
10,-0.035710914335643135
10,-0.01668315837012
10,0.005474835501871981
10,-0.06583680088032988
10,-0.023780938579135737
10,-0.02290130573867779
10,0.09986072251072997
10,0.12555866156199347
10,0.10975419826090657
10,0.026226434122115914
10,0.052062141063132755
10,-0.02159540481218784
10,0.0029882286478368617
10,-0.0030015663446661925
10,-0.01858787042427173
10,-0.00035515084982738954
10,-0.0216066081765105
10,0.013784611482579817
10,0.041771476473182474
10,0.06380741814938483
10,0.03582409446263729
10,-0.02139462454691138
10,0.03262084582411939
10,0.05722916245859892
10,0.07874210856700287
10,0.10601530357760279
10,0.12050186124222913
10,0.013808704897469134
10,0.06865832001607651
10,0.04285102916041708
10,0.0793177347234042
10,-0.011988257390301828
10,0.11140074901592695
10,0.11338253657837814
10,0.12568263877078842
10,0.1172314696172025
10,0.1352778170394138
10,0.14437659537422634
10,0.14881654274512168
10,0.14663948023777665
10,0.14966001183955627
10,0.13830574980878238
10,0.0714279337416901
10,-0.10135986379617615
10,-0.09901731362471758
10,-0.05030088239236619
10,-0.04137223159709675
10,-0.04715201630787146
10,-0.09752210237128965
10,-0.06501170845221181
10,-0.0909556907027068
10,-0.10998971441536257
10,-0.05830801580341944
10,-0.12020355600703611
10,-0.108203883754552
10,-0.102754464385927
10,-0.09594581133957081
10,-0.07596046782988296
10,-0.049427569177662105
10,-0.06935960346987864
10,-0.06152860380394251
10,-0.01942735518846927
10,-0.012221109773393394
10,-0.022617399512806655
10,-0.0704014484458597
10,-0.0718702457967003
10,-0.073441446817561
10,-0.06603388483270516
10,-0.0649715776779546
10,-0.0997294168389493
10,-0.0009422254059665833
10,-0.0067309612449891615
10,0.004990099737092613
10,-0.02259307018171182
10,-0.03491623406815962
10,0.09636455119933027
10,0.05990403060628126
10,0.0970557296169842
10,-0.023159562245984037
10,0.015493978024038582
