L,rho
10,0.09319212617883439
10,0.09452507764386114
10,0.02579712442889937
10,0.05429107143014552
10,0.04232499531503526
10,0.02094951006361229
10,0.010486217550852514
10,0.03626225527071638
10,0.01822773538587992
10,-0.0055695479138258164
10,-0.0164519329542549
10,-0.021123363630611056
10,-0.017603482277674345
10,-0.032256177323217346
10,-0.04615819172958637
10,-0.04158628659141302
10,-0.019616977732540775
10,-0.05616370555781516
10,-0.057017326934709525
10,-0.04975975469140336
10,-0.04454458230954553
10,-0.021888536049426543
10,0.002957341124828835
10,0.019217301389216845
10,-0.05083255598815535
10,0.08422554305795575
10,0.11321329367238922
10,0.1087492190192991
10,0.11951181627864066
10,0.10318612799442224
10,0.104065635717006
10,0.10450615664608819
10,0.10377317534530463
10,0.10338104964043884
10,0.08223344746010788
10,0.08307666216640719
10,0.04907226392361813
10,-0.07568747873021092
10,-0.07890533253223649
10,-0.07012030219533656
10,-0.05112969080499818
10,-0.04886703473794493
10,-0.047998338063184216
10,-0.025506199894986772
10,-0.03533285759419678
10,-0.025006116010956807
10,-0.029272337466999962
10,-0.02944495697706384
10,-0.0031917340948618414
10,0.009724054687060751
10,0.002160231477466768
10,0.02092703617956681
10,0.014331263365902626
10,0.013775294175477416
10,0.0801284189402502
10,0.08979657953190652
10,0.061556196973844804
10,0.05159001300161
10,0.049941033008010685
10,0.01935635049518449
10,0.055133872593617086
10,-0.035713340413310535
10,-0.02031524797386202
10,-0.009876581914032685
10,-0.015540347287346594
10,-0.025124389015373644
10,-0.01852891236846261
10,-0.013510536467900246
10,0.0034063981550102747
10,0.006987597739046668
10,0.004217125321161636
10,0.08503851785364001
10,0.07776250156619798
10,0.10555809876862794
10,0.10067709127201437
10,0.0950539266904182
10,0.058690593876608715
10,0.06211125194791195
10,0.03199609695477747
10,0.01995718715690756
10,0.0015022877243338973
10,-0.021845549559716602
10,-0.03928248806864419
10,-0.03439263139142972
10,-0.03282801858730456
10,-0.038303460388088316
10,-0.027173663773126647
10,-0.02747499267329532
10,-0.019215100006141787
10,0.007685590295434042
10,0.008184373706193111
10,-0.000678453397601541
10,-0.024564989600119713
10,-0.031185950775723215
10,-0.04727564617894266
10,-0.026268047434105553
10,-0.03546800416657068
10,-0.06484971880847865
10,-0.03408829356133496
10,-0.024340920866115952
10,-0.056818206208649295
10,-0.02823530989057052
10,-0.014466146087293592
10,-0.05183532980086469
10,-0.04022292497443346
10,-0.03920391196150275
10,-0.035440050747356434
10,-0.03736812637027092
10,-0.02281248827452624
10,-0.025496852397008933
10,-0.029160402037373318
10,-0.030547340196955042
10,-0.019651092572872664
10,0.02130509010024626
10,0.004360315446436899
10,-0.051694436214634314
10,-0.01361007628699773
10,-0.040101541385666406
10,-0.019963989183372718
10,-0.0007126681989238463
10,0.033611519279625676
10,0.015705133310458433
10,0.017288171997665105
10,0.08397545222354279
10,0.09502686388500277
10,0.016197195053374924
10,0.08286338421239975
10,0.050607124884454686
10,0.02055457036685479
10,0.0058380611186693
10,-0.007692552025893564
10,-0.008769797305849905
10,-0.011795499653834427
10,-0.02842019074558093
10,-0.041540625935396175
10,-0.0507330734543089
10,-0.060701529190615645
10,-0.015110981145547566
10,-0.03967916955489851
10,-0.016718016309169144
10,-0.03978153082580054
10,-0.027181081480664986
10,-0.02811627637905849
10,-0.03280579108928946
10,-0.020744417969525406
10,-0.027213667046463608
10,8.719321191728926e-05
10,-0.004682260670691296
10,0.019775757929078444
10,0.06805519057975479
10,0.05692015804522748
10,0.0011850552133374783
10,-0.030747179723757567
10,-0.04107371264638702
10,-0.0676107751497337
10,-0.0676641361477646
10,-0.060661556305983105
10,-0.042705956185042894
10,-0.057339298851296794
10,-0.05521211189582183
10,-0.06659027640716783
10,-0.05776132694081496
10,-0.06857486453516289
10,-0.06559344124963705
10,-0.07097242807948968
10,-0.07299884676114174
10,-0.054863722642516544
10,-0.06531307431640523
10,-0.04002668501689056
10,-0.04344649218864395
10,-0.05964910960980372
10,-0.043654240705015994
10,-0.018618799575670537
10,0.024776773645265437
10,0.06770601721887715
10,0.06068577991707213
10,0.10091094160381787
10,0.11564666862146132
10,0.1144890941101631
10,0.08657748813489888
10,0.06957812663426521
10,0.06721338747719131
10,0.045482834080543696
10,0.035947650542057986
10,-0.009796621598878187
10,0.022398310185545143
10,0.06648135992831469
10,0.0022744241045599732
10,-0.02740861568502223
10,-0.019202435260978618
10,0.004881013838469651
10,0.02152691491143331
10,0.045583629489315006
10,0.048495022800030624
10,0.08301153866479306
10,0.10068918738412262
10,0.10077371884339242
10,0.10618048478908357
10,0.11416588550005716
10,0.07936162708017945
10,0.08317636747790362
10,0.05626712617470501
10,0.012725898130476282
10,-0.0220092066951198
10,-0.04085231586655619
10,-0.02018284191293865
10,-0.021602299940232206
10,-0.09665509029531624
10,-0.11332432348085214
10,-0.028330053227985725
10,-0.024458676234145844
10,-0.010778280067921702
10,-0.01223032853524161
10,-0.015677488195873942
10,-0.062465027418048776
10,-0.05162143818175234
10,-0.07332626196708518
10,-0.041234021901537
10,-0.04923193535757105
10,-0.070139785425003
10,-0.08940511493193962
10,-0.06775813674428263
10,-0.055398790266317166
10,-0.08221544830213294
10,-0.04712753369558805
10,-0.044686845173657085
10,-0.04815400002830499
10,-0.05177489462864401
10,-0.05034685575271241
10,-0.05283813208730445
10,-0.04736189716924759
10,-0.04965240874650382
10,-0.029561965167967243
10,-0.038909491212643754
10,-0.013228506370912748
10,0.03206314800430046
10,0.09441084195250962
10,0.068613121246761
10,-0.006534088012500972
10,0.01200648216057981
10,-0.013997242715871973
10,-0.02054248383345762
10,-0.023081396028976957
10,-0.015901761974451523
10,-0.021967808274266122
10,-0.025520233921507315
10,0.03973797513221468
10,0.08494408610057973
10,-0.10268831144375064
10,-0.05054567443124977
10,-0.017544614360941457
10,-0.028339091490546562
10,-0.03996620663770176
10,-0.024973248807389867
10,-0.03237599420879387
10,-0.03605265936033345
10,-0.029407327722683833
10,-0.033419692488343276
10,-0.029499358190053077
10,-0.020851744130702142
10,0.007284429769540932
10,-0.042000403868887634
10,-0.006983310711424252
10,-0.013286750722928706
10,-0.017229586172579754
10,-0.041843236340067806
10,-0.04888926822713349
10,-0.043794642069912154
10,-0.05482325228406251
10,-0.03681774336461557
10,-0.08578533501549293
10,-0.07358019869082573
10,-0.05053863336220236
10,-0.012932448309560023
10,-8.266282423343949e-05
10,-0.053986308131622404
10,-0.07347801007968076
10,-0.0837201933971386
10,-0.08205270152497082
10,-0.09235617892958332
10,-0.080920046308809
10,-0.07802371079501004
10,-0.058617048245876324
10,-0.03658770402593571
10,-0.034285882700323816
10,-0.05157044274846877
10,-0.04579863479926648
10,0.035666430727347674
10,0.004089077770571396
10,0.008276550854613205
10,-0.020274711724542593
10,-0.02067972943696115
10,-0.02575718097631858
10,-0.030008133741568386
10,-0.018810123353354125
10,0.02432682361335528
10,0.03855262532869835
10,0.07360780629994909
10,0.07662991966776231
10,0.1279962314874454
10,0.11782971371658005
10,0.1046264242624619
10,0.07678531045999684
10,0.0824236320906759
10,0.07062377292348457
10,0.04669906386165079
10,0.06360697097114573
10,0.03864140732725305
10,0.06792922863546032
10,0.05256421288424892
10,0.0071581911006286135
10,0.00756474735624405
10,0.029146602579522236
10,0.016978166156002224
10,-0.011958877655725227
10,0.026308415775695593
10,0.026687034586788522
10,0.06595615995041604
10,0.0646573518346057
10,0.08416961465229651
10,0.07564195066333818
10,0.08862306430946472
10,0.08702565081635584
10,0.04915809924557918
10,0.06515114267600593
10,0.05991594287396685
10,-0.006399309114414099
10,-0.01625300848303394
10,-0.01126057114401624
10,0.0044506524544928126
10,-0.004846216631363064
10,0.01946602405586798
10,0.026741389137703034
10,0.03443291520028194
10,0.02718577673311696
10,0.0051934671106103015
10,0.02466051957116318
10,-0.004295533712476779
10,-0.010474309135501342
10,-0.02966783909370558
10,-0.0018099309241893262
10,0.007215026548487164
10,-0.05874603690335102
10,-0.0658591682715275
10,-0.05965221454095976
10,-0.07006026434115147
10,-0.09628353219609141
10,-0.05360800380452355
10,-0.029160709433030754
10,-0.03935165663587415
10,-0.035736445075174504
10,-0.03997616243203275
10,-0.03759654683355697
10,-0.021648476948442335
10,-0.026032225061975157
10,-0.02631151517681952
10,-0.027866352376331224
10,0.02811660676051644
10,-0.009548117705729593
10,0.0680172047204693
10,0.039403647638072976
10,-0.019882218572568888
10,-0.03266063979188876
10,-0.041572006150555556
10,-0.04901190813498567
10,-0.05184580368721366
10,-0.058453350729714124
10,-0.07291577080815481
10,-0.0724551669695442
10,0.03537034000849473
10,0.08862402119664678
10,-0.09307711234036231
10,-0.06273502346480764
10,-0.007329305952298913
10,-0.013469934763820681
10,-0.03587930804915279
10,-0.024634494912204416
10,-0.023740515888043007
10,-0.028636150986047222
10,-0.007634354718461861
10,-0.019248657994014685
10,-0.05043007851778273
10,-0.03921643086534537
10,0.03741799971631701
10,-0.0530763678333024
10,-0.016655371583050416
10,-0.0278948953169747
10,-0.03224171168547586
10,-0.016251858445038014
10,-0.056498875976575894
10,-0.05789888242803341
10,-0.03961779221590263
10,-0.008774828487380287
10,0.032531789074385864
10,-0.0026018026010095306
10,-0.05806309979060548
10,0.023836044731860878
10,-0.019851614847282952
10,-0.07335138095155748
10,-0.0864132280912897
10,-0.09330127959347068
10,-0.08434270962068191
10,-0.08665841971045109
10,-0.08259990074179924
10,-0.0866130063604362
10,-0.0851685525093895
10,-0.06368202075523659
10,-0.06470883223469265
10,-0.05341351110439833
10,-0.052675060798033885
10,0.004386081589329068
10,-0.03473343459567336
10,-0.03249776905314698
10,-0.041873000580588376
10,-0.04764266727514819
10,-0.04872882495032675
10,-0.05077893431091902
10,-0.04775431639455938
10,-0.0070479605194093565
10,0.0355843319996256
10,0.09769628265193542
10,0.13233722969412523
10,0.13429035676013523
10,0.12011334176698593
10,0.11719539683544607
10,0.058205184968385365
10,0.06399847661728135
10,0.05603886250734529
10,0.046668986811636747
10,0.06804093484634756
10,0.05451581011238217
10,0.030462674486733447
10,0.013400240094708353
10,-0.0474136347213273
10,-0.06492813405854458
10,-0.0787362896419414
10,-0.08345532026847123
10,-0.07613970020098357
10,0.003396996078195315
10,-0.010079200741312648
10,0.038747857641215244
10,0.035867072631928815
10,0.05588972294451461
10,0.04608532695489822
10,0.06230765397267399
10,0.06386023234617388
10,0.050064119142075224
10,0.06027957431148204
10,0.03783710494854878
10,-0.0409511174415956
10,-0.05291392787717618
10,-0.00024376566436058888
10,-0.02037862078123365
10,-0.023451838929056747
10,-0.015482411066862318
10,-0.035333894863794915
10,0.0036405403976963757
10,0.0035266521151260423
10,0.0546786834617431
10,0.08452284699646788
10,0.06779061493646846
10,0.03592229494840237
10,0.08316301505711847
10,0.032674485339478275
10,0.015679656980210892
10,0.024462943484788207
10,-0.012332728087121258
10,-0.036813938312197855
10,-0.09636948491982951
10,-0.07950853373531658
10,-0.03239029074866763
10,-0.021792847286984895
10,-0.018248865562237593
10,-0.03520299486038222
10,-0.043488993724472874
10,-0.04195530415903361
10,-0.018034033512742707
10,-0.027502203017635514
10,-0.02808253043526879
10,-0.027449231182060524
10,0.022299972950852433
10,-0.0021479794464685687
10,0.08587384532560473
10,0.05483880024353334
10,-0.030824838315478633
10,-0.03514308931575951
10,-0.039943214042327854
10,-0.03372443028922017
10,-0.04436274969920262
10,-0.0443903521739666
10,-0.04854095369936945
10,-0.050049671900665935
10,0.023552462454418544
10,0.10638448768380886
10,-0.06235308598133668
10,-0.06722136873943534
10,-0.04414749923295013
10,-0.005853610248976917
10,-0.054710116516919
10,-0.0368933967984891
10,-0.043031200169930055
10,-0.044074396004905154
10,-0.04740053685100507
10,-0.04638948424407638
10,-0.04326487042158327
10,-0.044529525555867096
10,0.02818466048694261
10,-0.07219295599755816
10,-0.02224447980352126
10,-0.018374980244429726
10,-0.01518328725618576
10,-0.03202423854378126
10,-0.06218406929493809
10,-0.04995758701037316
10,-0.0383914060745635
10,0.014521851726234455
10,0.018015357491809516
10,-0.060121711120995576
10,-0.09088799967585964
10,-0.06112613380955088
10,-0.07139808325033399
10,-0.08233516241971865
10,-0.09145936137202736
10,-0.09641797653508694
10,-0.08199953940768072
10,-0.08700077853231243
10,-0.0843229418033596
10,-0.0885212217037529
10,-0.0847109210999544
10,-0.07892910667700771
10,-0.0694307781714567
10,-0.055101644541252964
10,-0.052056993935183024
10,0.013698713163958612
10,-0.013039236707449678
10,-0.027841533984092944
10,-0.03749883784873355
10,-0.03994394541515626
10,-0.054653707988528685
10,-0.06998705716684882
10,-0.06563603670476983
10,-0.040287096225225916
10,0.004734147542702839
10,0.10065465312516146
10,0.11201868141685177
10,0.11205766958228054
10,0.107493183318211
10,0.12097096988975224
10,0.06483761292635676
10,0.0623683193117823
10,0.052126158830511485
10,0.04626692176533708
10,0.0601968114210848
10,0.06337265621247913
10,0.019605581691279007
10,-0.038283576935738424
10,-0.0761266152645664
10,-0.11318185845155579
10,-0.08095401384512751
10,-0.08025307380746115
10,-0.09562050141500068
10,-0.040010726404658595
10,-0.03688595307877209
10,0.019210376827635316
10,0.004123598466935525
10,0.07052785997786938
10,0.0753873174397881
10,0.06633962289665081
10,0.08500632377209626
10,0.0692581239438768
10,0.077015108649969
10,0.06280087201788118
10,0.046618822480632156
10,0.047528365852763446
10,0.03768229825910982
10,0.05178610780333499
10,0.06877143751526354
10,0.03912890958864277
10,0.06801833484388682
10,0.06538597816192797
10,0.016930331825006043
10,0.026706671425466202
10,0.08552922866039007
10,0.007286610090117562
10,0.03250771888727947
10,0.06465187310708174
10,0.04485899460469303
10,0.035229483275550304
10,0.049694624096729464
10,0.016016964300766174
10,0.02879761120573984
10,-0.020621586612508826
10,0.005595689174375081
10,0.018163406830711822
10,0.0029154935190454927
10,-0.024698014140951623
10,-0.03510751632333569
10,-0.02051485860225414
10,-0.04111750375406797
10,-0.028619072783446248
10,-0.0369252281934645
10,-0.025286580005546053
10,-0.03336298440515508
10,-0.012774294154950835
10,-0.03821007240672415
10,0.04983486284590146
10,0.0668019128319535
10,-0.022836681187579165
10,-0.027848310916476358
10,-0.042009105785602
10,-0.02669078795123085
10,-0.024235736086277285
10,-0.02813775135144812
10,-0.0278895355213346
10,-0.04928574283424035
10,0.029340213738282096
10,0.10241407791890272
10,-0.03844824430655484
10,-0.04932444129708503
10,-0.0424781670469266
10,-0.033735153080802056
10,-0.03732579760874754
10,-0.03854269951471037
10,-0.03667894493850332
10,-0.033585890209095075
10,-0.042631078886444684
10,-0.04718047172976076
10,-0.05047615110137634
10,-0.044104511045935754
10,0.008900628400493264
10,-0.0680916397357908
10,-0.030090936724359064
10,-0.021535286398364592
10,-0.012821908890849831
10,-0.02122225876531882
10,-0.05987208645044696
10,-0.04950958876912876
10,-0.032410841818381254
10,0.016898596943335165
10,-0.020767479886599115
10,-0.06960945202637815
10,-0.10046814802675892
10,-0.05749908427761022
10,-0.04789547455363292
10,-0.040789812949369605
10,-0.06704140687378658
10,-0.07596585737567055
10,-0.08704859447481171
10,-0.08419248989814397
10,-0.08234254918340185
10,-0.08524678492656287
10,-0.07051045085564416
10,-0.06194449032485199
10,-0.061352157261559154
10,-0.04714860938032136
10,-0.044535533250475
10,0.010259885571255801
10,-0.05302214426182538
10,-0.0512143793107352
10,-0.039669335381322696
10,-0.04505092540809976
10,-0.05259603490359751
10,-0.08086837399438147
10,-0.06772921437813505
10,0.040032290856450416
10,0.09972632562435375
10,0.09649372651971734
10,0.08173537469222462
10,0.0657331771132062
10,0.10093030676689413
10,0.11103027731724716
10,0.057144004468709146
10,0.03599552648566487
10,0.04036731516869694
10,0.042493209226792596
10,0.05590501356001219
10,0.05932575699151573
10,0.04087894757572027
10,-0.014825396127641622
10,-0.03389579308576434
10,-0.02048717609443918
10,-0.006779450250526011
10,-0.017244121103821435
10,-0.018672657786838902
10,0.018479442952661483
10,0.022539151185075906
10,0.06342866793369505
10,-0.00449133752208039
10,-0.0011490140741205722
10,0.032600815557171745
10,0.0024040056879030512
10,0.09295771234541428
10,0.07571055278652733
10,0.08661383380321568
10,0.0712739605393752
10,0.08327081738367616
10,0.08311447276552168
10,0.08434069711406675
10,0.09257377140824506
10,0.09649531231286042
10,0.08096984007144507
10,0.08301822015771333
10,0.11602939358201034
10,0.10562812946399511
10,0.049745765188110164
10,0.09114325556948717
10,0.037320733431887486
10,0.04192785901660152
10,0.06824193101228544
10,0.07575572457510098
10,0.034194213644832
10,0.01023309433279119
10,-0.025409374637277292
10,0.024912079778166854
10,-0.036381258008100756
10,-0.027129745713707125
10,-0.02645835648773627
10,-0.020230277280970856
10,-0.037914026216697316
10,-0.04685861183856886
10,-0.047235996887509214
10,-0.04972349134824776
10,-0.047578922010804534
10,-0.04682760586486686
10,-0.040271225217796094
10,-0.038982035973676214
10,-0.012624576708681817
10,-0.06281781928930022
10,-0.06440696845253656
10,-0.0380239775670455
10,-0.01885307155812754
10,-0.04737664630422855
10,-0.0708906522881633
10,-0.06113490155708574
10,-0.04581757321127142
10,-0.05435245267898441
10,-0.06324701027949907
10,-0.07013888325590535
10,0.016699096914847885
10,0.060546703879002656
10,0.0017197132480309986
10,-0.04596973483281326
10,-0.02907249221019123
10,-0.02771991271885204
10,-0.022090239088840592
10,-0.024377306353555846
10,-0.02300230264583217
10,-0.020217996227348448
10,-0.028387942331939767
10,-0.04057687787027178
10,-0.04727750393308466
10,0.011307813818788653
10,0.019265330108739657
10,-0.06393560219729404
10,-0.023774334076400026
10,-0.013031453396917114
10,-0.019673255433803476
10,-0.02628795025583954
10,-0.06132676961324262
10,-0.04321497143457433
10,-0.06019631163184267
10,-0.04114663501879045
10,-0.09764585541578219
10,-0.09524867275772017
10,-0.09420015163201242
10,-0.06566216737656386
10,-0.039569552909906824
10,-0.052125602507087344
10,-0.08653847876754851
10,-0.08912864959721978
10,-0.08088779200273445
10,-0.10291175149884431
10,-0.09716359848475696
10,-0.09065656916712846
10,-0.08026899590227393
10,-0.05216131543130668
10,-0.06242162322909491
10,-0.06730289178984875
10,-0.054771202627599304
