L,rho
10,0.30812588036916727
10,0.20297104978144717
10,0.13493584543753454
10,0.1226242604314994
10,0.19553489970406152
30,0.4436578997864102
30,0.25843881067384256
30,0.2551173658962081
30,0.2669402363055133
30,0.2526879780011822
50,0.38278896412997754
50,0.32331240726331817
50,0.3911725118700896
50,0.286617502677351
50,0.2865563169299097
70,0.3826761251445095
70,0.3502753540873535
70,0.3532285299728814
70,0.2716113494482437
70,0.37580358257716784
90,0.4389422520460775
90,0.32484525161303607
90,0.33023934330888
90,0.43807523948955074
90,0.40417210851397717
110,0.4147540789523854
110,0.3530013143577011
110,0.4258604783760354
110,0.3830119786948362
110,0.36472724735995027
