L,rho
10,0.04822050649981536
10,0.225019525338569
10,0.13074968767121997
10,0.09953444155822885
10,0.11779562936046219
30,0.19540623901313117
30,0.20625219145007723
30,0.17367576214027602
30,0.19256777279433426
30,0.2121921992292779
50,0.21204069397504713
50,0.18746139666345363
50,0.19714902514641622
50,0.16835249936696065
50,0.21021151852263611
70,0.20960012372406894
70,0.18945478696607268
70,0.2314272522639547
70,0.2531641633125344
70,0.22756113028669447
90,0.2345861802220578
90,0.2672732100470617
90,0.2623427731972431
90,0.2133746472803517
90,0.25457421656291834
110,0.23926956590268425
110,0.3161537751003006
110,0.2431349098635079
110,0.31852924828039775
110,0.3265871928472666
